GID;FROM;TO;EROSIORATE(cm/y);Periode
159;0;3228;-0.05;nan
207;0;8460;-0.05;nan
317;3626;9752;0.04;nan
317;0;3626;0;nan
171;0;8655;0;nan
316;13236;15829;0;nan
316;0;13236;-0.02;nan
310;0;1989;-0.02;nan
333;0.00000000000;4308.28758302000;-999.00000000000;nan
332;0.00000000000;2078.28200000000;0.00000000000;1972-2018
301;0.00000000000;2449.29900000000;1.44000000000;1972-2018
299;0.00000000000;3669.65600000000;6.25000000000;1988-1996
298;0.00000000000;322.82700000000;4.40000000000;1988-1996
295;0.00000000000;1246.49300000000;0.00000000000;1972-2018
340;0.00000000000;9001.15179057000;0.00000000000;2013
339;0.00000000000;26537.18300000000;0.00000000000;2013
338;0.00000000000;11735.95340050000;0.00000000000;2013
337;0.00000000000;7913.61100000000;-999.00000000000;2013
336;0.00000000000;6211.58817972000;0.00000000000;2013
334;0.00000000000;21640.89042250000;-999.00000000000;nan
93;0.00000000000;39172.20086710000;-999.00000000000;nan
291;0.00000000000;3907.67000000000;7.64000000000;1988-1996
291;3907.67000000000;8770.88400000000;-4.20000000000;1988-1996
291;8770.88400000000;9560.02893512000;6.25000000000;1988-1996
299;3669.65600000000;4743.60000000000;-4.59000000000;1988-1996
299;4743.60000000000;13763.43468160000;4.40000000000;1988-1996
298;322.82700000000;5613.28300000000;3.11000000000;1972-2018
298;5613.28300000000;10560.54700000000;0.74000000000;1972-2018
298;10560.54700000000;13003.82493410000;1.44000000000;1972-2018
301;2449.29900000000;8468.75500000000;0.75000000000;1972-2018
301;8468.75500000000;13190.51900000000;-1.37000000000;1972-2018
301;13190.51900000000;17938.50000000000;-1.73000000000;1972-2018
301;17938.50000000000;24494.55300000000;-2.53000000000;1972-2018
301;24494.55300000000;26720.99972570000;-0.62000000000;1972-2018
332;2078.28200000000;6929.73700000000;0.94000000000;1972-2018
332;6929.73700000000;10932.23900000000;0.60000000000;1972-2018
332;10932.23900000000;17034.73600000000;0.08000000000;1972-2018
332;17034.73600000000;20835.66103270000;-1.24000000000;1972-2018
295;1246.49300000000;10207.49942230000;-2.59000000000;1972-2018
335;20830.23800000000;30294.67004620000;0.00000000000;2013
337;7913.61100000000;19343.78000000000;0.00000000000;2013
337;19343.78000000000;19986.91250470000;0.00000000000;2013
339;0.00000000000;61511.50314930000;-999.00000000000;2013
339;26537.18300000000;61511.50314930000;0.00000000000;2013
209;0;88;2.34202959;2006 – 2015;
209;88;419;0.087746327;2006 – 2015;
209;419;521;3.156396977;2006 – 2015;
209;521;619;4.85902944;2006 – 2015;
209;619;734;0.049517715;2006 – 2015;
209;734;1122;1.450825896;2006 – 2015;
209;1122;1226;16.26462081;2006 – 2015;
209;1226;1329;0.217361615;2006 – 2015;
209;1329;1456;-1.62251401;2006 – 2015;
209;1456;1572;3.082102538;2006 – 2015;
209;1572;1645;-4.70058345;2006 – 2015;
209;1645;1743;2.233029757;2006 – 2015;
209;1743;2039;-0.45466226;2006 – 2015;
209;2039;2241;4.717714509;2006 – 2015;
209;2241;2448;0.007599089;2006 – 2015;
209;2448;2603;2.988758563;2006 – 2015;
209;2603;2851;-0.02192971;2006 – 2015;
209;2851;2899;1.157765193;2006 – 2015;
209;2899;3463;0.170918835;2006 – 2015;
209;3463;3560;-3.32230158;2006 – 2015;
209;3560;3873;0.039713149;2006 – 2015;
209;3873;4168;2.547720888;2006 – 2015;
209;4168;4282;1.161020837;2006 – 2015;
209;4282;5178;0.175523087;2006 – 2015;
209;5178;5273;1.575312282;2006 – 2015;
209;5273;5674;0.489399821;2006 – 2015;
209;5674;5784;-1.61760249;2006 – 2015;
209;5784;6482;0.510469522;2006 – 2015;
209;6482;6578;1.471720418;2006 – 2015;
209;6578;6676;-1.25397895;2006 – 2015;
209;6676;7182;0.44599518;2006 – 2015;
209;7182;7296;2.352242433;2006 – 2015;
209;7296;7489;0.817628498;2006 – 2015;
209;7489;7692;2.733978294;2006 – 2015;
209;7692;8292;0.207416279;2006 – 2015;
